med,plus,minus,name
0.009206398293542861,0.007660241214296093,0.007249053778309644,early blip
0.512380261570172,0.44355630379936883,0.3121845737325657,early rise
0.13564796720504546,0.5268910513910328,0.0767859765085177,ireviken_blue_box
0.17914753324890853,0.30953022740038705,0.17569320345506867,ireviken_plus_2
1.4631966271051624,0.5807147161518742,0.30694253492691814,total_excusion
2.1841604945393556,0.3484377615123435,0.8070021294503249,quite
0.27009689287683614,0.4928994866433527,0.204832925630285,mulde_box
0.10431565342531712,0.5146942285986711,0.06448209407716377,mulde_plus
0.007841939057016134,0.016866919269830305,0.00620479800073781,mulde_drop
0.05300583097374556,0.09274014161451305,0.04161642324271497,mulde_middle
0.031125187842462765,0.20741657394887625,0.029042437698308277,LW_boundary_duration
0.19360999026679337,0.330830545446986,0.18980529397310875,upper_visby_duration
0.538300755972557,0.3820367669816278,0.44146878624894725,hogklint_duration
0.21610158151440828,0.15401534752146517,0.15982889826864266,tofta_duration
0.13418997417397804,0.17038151462026008,0.10042284246981126,hangvar_duration
