depth_m,GTS_age,d13Ccarb,d18Ocarb
86.25,428.049,0.61,-5.56
86.7,428.053,,
87.15,428.056,0.63,-5.65
87.6,428.059,0.78,-5.66
88.05,428.063,0.88,-5.38
88.5,428.066,0.78,-5.4
88.95,428.069,1.1,-5.5
89.4,428.073,0.99,-5.77
89.85,428.076,0.91,-5.74
90.3,428.079,1.08,-5.75
90.75,428.083,,
91.2,428.086,1.29,-5.57
91.65,428.089,1.49,-5.26
92.1,428.093,1.21,-5.59
92.55,428.096,1.33,-5.47
93,428.099,1.95,-4.68
93.45,428.103,1.51,-5.32
93.9,428.106,2.12,-4.48
94.35,428.109,2.12,-4.49
94.8,428.113,2.29,-4.78
95.25,428.116,3.3,-4.04
95.7,428.119,2.63,-4.71
96.15,428.123,3.27,-3.96
96.6,428.126,2.04,-5.02
97.05,428.13,2.13,-4.73
97.5,428.133,2.18,-4.79
97.95,428.136,2.26,-4.84
98.39,428.14,2.24,-4.8
98.85,428.143,,
99.28,428.146,2.8,-3.99
99.75,428.15,2.58,-4.49
100.2,428.153,2.08,-5.18
100.65,428.156,2.25,-4.52
101.1,428.16,,
101.55,428.163,,
102,428.166,,
102.45,428.17,,
102.9,428.173,1.68,-4.46
103.35,428.176,2.11,-4.21
103.8,428.18,1.63,-4.71
104.25,428.183,1.78,-4.47
104.7,428.186,1.72,-4.3
105.15,428.19,1.19,-5.18
105.6,428.193,1.16,-5.11
106.05,428.196,1.7,-4.92
106.5,428.2,,
106.95,428.203,0.72,-4.71
107.4,428.206,0.77,-5.03
107.85,428.21,1.48,-4.43
108.3,428.213,1.36,-4.78
108.75,428.217,1.26,-5.44
109.2,428.22,1.39,-4.89
109.65,428.223,1.24,-4.59
110.1,428.227,0.92,-4.75
110.4,428.23,0.27,-4.72
110.7,428.233,0.47,-4.57
111,428.237,-0.35,-4.4
111.3,428.24,1.27,-5.11
111.6,428.243,1.2,-4.71
111.9,428.247,,
112.2,428.25,0.75,-4.57
112.5,428.26,1.85,-4.65
112.8,428.27,1.92,-4.93
113.1,428.28,1.83,-4.99
113.4,428.29,,
113.7,428.3,2,-4.55
114,428.311,1.61,-5.36
114.3,428.321,1.98,-5.25
114.6,428.331,1.91,-5.1
114.9,428.341,2.07,-4.64
115.2,428.351,1.82,-5.12
115.5,428.361,2.41,-4.89
115.8,428.371,1.82,-4.92
116.1,428.381,2.27,-5.05
116.4,428.391,1.77,-4.65
116.7,428.401,1.88,-4.56
117,428.411,1.98,-4.67
117.3,428.422,2.17,-4.86
117.6,428.432,2.19,-4.38
117.9,428.442,2.18,-4.51
118.2,428.452,2.23,-4.39
118.5,428.462,2.48,-4.56
118.8,428.472,2.31,-4.71
119.1,428.482,2.36,-4.66
119.4,428.492,2.29,-4.49
119.7,428.502,2.4,-4.74
120,428.512,2.44,-4.52
120.3,428.522,2.41,-4.88
120.6,428.533,2.4,-5.07
120.9,428.543,2.42,-4.97
121.2,428.553,2.57,-5.57
121.5,428.563,2.31,-5.15
121.8,428.573,2.33,-4.81
122.1,428.583,2.47,-4.97
122.4,428.593,2.59,-5.14
122.7,428.603,2.42,-5.49
123,428.613,2.5,-5.33
123.3,428.623,2.44,-4.97
123.6,428.633,2.39,-5.64
123.9,428.644,2.57,-5.07
124.2,428.654,2.49,-5.23
124.5,428.664,2.4,-5.4
124.8,428.674,2.59,-5.5
125.1,428.684,2.5,-5.4
125.4,428.694,2.46,-5.49
125.7,428.704,,
126,428.714,2.43,-5.55
126.3,428.724,2.49,-5.65
126.6,428.734,2.58,-5.51
126.9,428.744,2.44,-5.61
127.2,428.755,2.52,-4.74
127.5,428.765,2.63,-5.41
127.8,428.775,2.62,-5.17
128.1,428.785,2.68,-5.25
128.4,428.795,2.73,-5.57
128.7,428.805,2.74,-5.36
