depth_m,GTS_age,d13Ccarb,d18Ocarb
227.4,431.601,0.87,-4.86
227.55,431.604,-0.2,-4
227.7,431.608,0.97,-4.8
227.85,431.611,1.12,-4.92
228,431.615,1.11,-4.99
228.15,431.618,0.9,-4.88
228.3,431.622,0.93,-5.02
228.45,431.625,0.98,-4.91
228.6,431.629,0.92,-5.05
228.75,431.632,-0.45,-4.12
228.9,431.636,1.04,-5.2
229.05,431.639,0.91,-5.15
229.2,431.643,0.87,-4.83
229.35,431.646,1.23,-4.76
229.5,431.649,1.04,-4.48
229.63,431.653,1.28,-4.89
229.8,431.656,1.19,-4.84
229.95,431.66,-0.35,-4.18
230.1,431.663,-0.85,-3.93
230.25,431.667,1.39,-4.8
230.4,431.67,-0.24,-3.5
230.55,431.674,1.27,-4.28
230.7,431.677,1.3,-4.56
230.85,431.681,1.05,-5.33
231,431.684,0.17,-3.48
231.15,431.688,1.43,-4.68
231.3,431.691,1.25,-4.88
231.45,431.695,-0.24,-3.66
231.6,431.698,1.45,-4.93
231.75,431.701,1.34,-4.98
231.9,431.705,1.5,-5.24
232.05,431.708,1.61,-4.4
232.2,431.712,1.73,-5.37
232.35,431.715,1.77,-5.05
232.5,431.719,1.85,-5.47
232.65,431.722,1.67,-5.18
232.8,431.726,1.8,-5.03
232.95,431.729,1.46,-5.06
233.1,431.733,0.26,-3.87
233.25,431.736,1.45,-5.07
233.4,431.74,1.8,-4.6
233.55,431.743,1.82,-4.99
233.7,431.747,1.67,-5.22
234,431.75,-0.08,-3.81
234.15,431.751,1.9,-5.18
234.3,431.752,1.77,-4.96
234.45,431.752,2.16,-4.67
234.6,431.753,2.07,-4.56
234.75,431.754,0.13,-3.64
234.9,431.755,1.96,-4.73
235.05,431.755,2.1,-5.02
235.2,431.756,1.9,-4.85
235.35,431.757,1.92,-4.87
235.5,431.758,1.83,-4.94
235.65,431.759,0.85,-4.01
235.8,431.759,2.38,-5.33
235.95,431.76,2.42,-5.37
236.1,431.761,2.38,-5.19
236.25,431.762,2.47,-4.72
236.4,431.763,2.47,-4.77
236.55,431.763,2.31,-4.88
236.7,431.764,1.25,-4.74
236.85,431.765,1.42,-4.76
237,431.766,2.44,-4.73
237.15,431.766,,
237.3,431.767,,
237.45,431.768,2.3,-4.97
237.6,431.769,2.42,-4.83
237.75,431.77,1.89,-4.86
237.9,431.77,2.47,-4.99
238.05,431.771,2.85,-5.49
238.2,431.772,2.87,-5.46
238.35,431.773,2.94,-5.3
238.5,431.774,2.98,-5.03
238.65,431.774,2.99,-5.13
238.8,431.775,,
238.95,431.776,3.05,-5.35
239.1,431.777,2.94,-4.43
239.25,431.777,2.56,-5.15
239.4,431.778,3,-4.92
239.55,431.779,3.06,-5.41
239.7,431.78,3.19,-5.48
239.85,431.781,3.09,-4.98
240,431.781,3.05,-4.95
240.15,431.782,3.11,-4.96
240.3,431.783,3.29,-4.94
240.45,431.784,3.29,-5.32
240.6,431.785,3.37,-5.66
240.75,431.785,3.45,-5.15
240.9,431.786,3.37,-5.25
241.05,431.787,3.36,-5.39
241.2,431.788,3.17,-4.9
241.35,431.788,3.55,-4.97
241.5,431.789,3.42,-5.38
241.65,431.79,3.7,-4.99
241.8,431.791,3.33,-5.21
241.95,431.792,3.4,-5.45
242.1,431.792,3.26,-5.25
242.25,431.793,3.15,-5.12
242.4,431.794,3.07,-4.99
242.55,431.795,3.22,-4.85
242.7,431.796,2.92,-5.22
242.85,431.796,2.63,-5.66
243,431.797,3.02,-5.3
243.15,431.798,3.58,-4.76
243.3,431.799,2.96,-5.36
243.45,431.799,2.99,-5.18
243.6,431.8,3.64,-4.86
243.75,431.801,3.07,-5.38
243.9,431.802,3.68,-4.65
244.05,431.803,3.33,-5.39
244.2,431.803,3.4,-5.36
244.35,431.804,3.38,-5.47
244.5,431.805,3.44,-5.06
244.65,431.806,3.51,-5.26
244.8,431.807,3.51,-4.29
244.95,431.807,3.78,-4.56
245.1,431.808,3.51,-5.4
245.25,431.809,3.26,-5.07
245.4,431.81,3.39,-5.19
245.55,431.81,3.39,-5.15
245.7,431.811,3.9,-4.71
245.85,431.812,3.65,-5.37
246,431.813,4.07,-5.03
246.15,431.814,3.62,-5.53
246.3,431.814,3.73,-5.08
246.45,431.815,3.87,-4.92
246.6,431.816,3.84,-5.25
246.75,431.817,3.94,-5.3
246.9,431.818,3.79,-5.11
247.05,431.818,4.01,-4.47
247.2,431.819,3.75,-5.39
247.35,431.82,3.71,-5.47
247.5,431.821,3.93,-5.69
247.65,431.821,3.92,-5.45
247.8,431.822,3.92,-5.45
247.95,431.823,3.95,-5.68
248.1,431.824,3.67,-5.48
248.25,431.825,4.01,-5.09
248.4,431.825,4.11,-5.08
248.55,431.826,4.14,-5.78
248.7,431.827,4.05,-5.55
248.75,431.828,4.25,-5.26
249,431.829,3.93,-5.12
249.15,431.829,3.99,-4.99
249.3,431.83,4.13,-5.27
249.45,431.831,4.3,-5.3
249.6,431.832,4.1,-5.26
249.75,431.832,4.5,-5.01
249.9,431.833,4.3,-5.13
250.05,431.834,4.5,-4.98
250.2,431.835,3.71,-4.12
250.35,431.836,4.15,-5.4
250.5,431.836,4.63,-5.28
250.65,431.837,4.25,-5.73
250.8,431.838,4.11,-5.32
250.95,431.839,4.14,-5.18
251.1,431.84,4.48,-4.98
251.25,431.84,4.68,-5.32
251.3,431.841,4.48,-5.22
251.45,431.842,5.39,-5.03
251.6,431.843,4.32,-5.43
251.75,431.843,4.11,-5.6
251.9,431.844,4.27,-4.52
252.05,431.845,4.27,-5.35
252.2,431.846,4.12,-5.44
252.35,431.847,4.25,-5.31
252.5,431.847,4.09,-5.35
252.65,431.848,4.25,-4.97
252.8,431.849,4.3,-5.09
252.95,431.85,4.44,-5.38
253.1,431.851,5.01,-5.3
253.25,431.851,4.62,-5.6
253.4,431.852,4.74,-5.26
253.55,431.853,4.29,-5.46
253.7,431.854,4.2,-4.21
253.85,431.854,4.3,-5.11
254,431.855,4.35,-5.05
254.15,431.856,4.41,-5.1
254.3,431.857,4.68,-5.08
254.45,431.858,4.59,-5.34
254.6,431.858,4.96,-5.31
254.75,431.859,4.45,-5.55
254.9,431.86,4.29,-5.45
255.05,431.861,4.27,-5.4
255.2,431.862,4.41,-5.34
255.35,431.862,4.19,-5.06
255.5,431.863,4.31,-5.11
255.65,431.864,4.42,-4.96
255.8,431.865,4.39,-5.38
255.95,431.865,4.51,-5.45
256.1,431.866,4.23,-5.36
256.25,431.867,4.24,-5.94
256.4,431.868,4.21,-5.79
256.55,431.869,4.65,-4.73
256.7,431.869,4.31,-5.68
256.85,431.87,4.36,-5.49
257,431.871,4.29,-5.49
257.15,431.872,4.32,-5.63
257.3,431.873,4.73,-5.35
257.45,431.873,4.24,-5.24
257.6,431.874,4.18,-5.24
257.75,431.875,4.33,-5.59
257.9,431.876,4.23,-5.46
258.05,431.876,4.17,-5.27
258.19,431.877,4.07,-5.34
258.35,431.878,4.79,-4.97
258.5,431.879,4.18,-5.42
258.65,431.88,4.15,-5.21
258.8,431.88,4.4,-5.01
258.95,431.881,3.72,-5.55
259.1,431.882,3.98,-5.74
259.25,431.883,3.93,-5.8
259.4,431.884,4.53,-5.24
259.55,431.884,4.15,-5.45
259.7,431.885,4.65,-5.18
259.86,431.886,4.37,-5.47
260,431.887,4.42,-5.45
260.15,431.887,4.98,-4.97
260.3,431.888,4.62,-5.47
260.45,431.889,5.16,-4.92
260.6,431.89,4.52,-5.06
260.75,431.891,4.53,-5.22
260.9,431.891,4.5,-5.28
261.05,431.892,4.52,-5.47
261.2,431.893,4.38,-5.85
261.35,431.894,4.62,-5.63
261.5,431.895,4.66,-5.49
261.65,431.895,5.12,-4.3
261.8,431.896,4.38,-5.21
261.95,431.897,4.4,-5.03
262.1,431.898,5,-4.99
262.25,431.898,5.39,-5.09
262.4,431.899,4.55,-5.72
262.55,431.9,4.7,-5.56
262.7,431.903,5.04,-5.56
262.85,431.906,4.7,-5.57
263,431.909,4.48,-5.47
263.15,431.912,4.47,-5.15
263.3,431.915,4.75,-5.44
263.45,431.918,5.17,-4.99
263.6,431.921,4.49,-3.46
263.75,431.924,4.65,-5.37
263.9,431.926,5.67,-4.58
264.05,431.929,5.26,-4.99
264.2,431.932,4.63,-5.5
264.35,431.935,4.5,-5.44
264.5,431.938,5.26,-3.57
264.65,431.941,5.41,-5.1
264.8,431.944,5.59,-5.18
264.95,431.947,5.17,-5.4
265.1,431.95,4.73,-5.76
265.25,431.953,5.63,-5
265.4,431.956,5,-5.35
265.55,431.959,5.69,-4.9
265.7,431.962,4.95,-5.92
265.85,431.965,4.76,-5.87
266,431.968,4.5,-5.75
266.15,431.971,4.63,-5.59
266.3,431.974,5.31,-5.69
266.45,431.976,4.74,-5.86
266.58,431.979,5.55,-5.44
266.75,431.982,5.16,-5.66
266.9,431.985,4.68,-5.75
267.05,431.988,5.12,-5.51
267.2,431.991,4.9,-5.8
267.35,431.994,4.81,-5.69
267.5,431.997,5.54,-4.9
267.65,432,5.11,-5.47
267.8,432.003,5.53,-4.09
267.95,432.006,4.83,-5.27
268.1,432.009,4.69,-5.57
268.25,432.012,4.52,-5.57
268.4,432.015,5.5,-5.07
268.55,432.018,4.71,-5.75
268.7,432.021,5.11,-5.5
268.85,432.024,5.85,-3.59
269,432.026,4.89,-5.52
269.15,432.029,5.34,-5.37
269.33,432.032,4.76,-5.57
269.45,432.035,4.98,-5.26
269.6,432.038,5.77,-3.59
269.75,432.041,4.97,-4.87
269.9,432.044,4.9,-5.05
270.05,432.047,4.75,-5.3
270.2,432.05,5.18,-5.56
270.35,432.053,5.41,-5
270.5,432.056,5.42,-4.58
270.65,432.059,5.51,-5.07
270.8,432.062,5.87,-3.78
270.95,432.065,5.72,-4.9
271.1,432.068,4.97,-5.76
271.25,432.071,5.45,-5.08
271.4,432.074,5.54,-5
271.55,432.076,5.17,-5.58
271.7,432.079,5.15,-5.4
271.85,432.082,5.58,-5.01
272,432.085,6.03,-5.04
272.15,432.088,5.14,-5.42
272.3,432.091,5.48,-5.49
272.45,432.094,5.76,-5.13
272.6,432.097,5.88,-5.07
272.75,432.1,5.08,-5.83
272.9,432.103,4.97,-5.65
273.05,432.106,4.78,-5.63
273.2,432.109,4.97,-5.66
273.35,432.112,5.29,-5.19
273.5,432.115,5.19,-5.07
273.65,432.118,4.99,-5.06
273.8,432.121,4.8,-5.31
273.95,432.124,5.09,-5.1
274.1,432.126,5.34,-5.11
274.25,432.129,5.22,-5.26
274.4,432.132,5.02,-5.34
274.56,432.135,5.13,-5.59
274.7,432.138,5.01,-5.9
274.85,432.141,4.78,-5.96
275,432.144,5.51,-4.94
275.15,432.147,4.92,-5.69
275.3,432.15,4.5,-5.5
275.45,432.153,4.87,-5.5
275.6,432.156,5.31,-5.43
275.75,432.159,4.96,-5.61
275.9,432.162,4.55,-5.88
276.05,432.165,4.54,-5.47
276.2,432.168,5.06,-5.33
276.35,432.171,5.29,-5.61
276.5,432.174,4.63,-5.73
276.65,432.176,4.96,-5.58
276.8,432.179,4.53,-5.88
276.95,432.182,4.98,-5.5
277.1,432.185,4.61,-5.93
277.25,432.188,4.75,-5.76
277.4,432.191,4.48,-5.66
277.55,432.194,4.44,-5.66
277.7,432.197,4.41,-5.56
277.85,432.2,4.28,-5.58
278,432.203,4.58,-5.56
278.15,432.206,4.14,-5.33
278.3,432.209,4.15,-5.78
278.45,432.212,4.55,-5.85
278.6,432.215,4.21,-5.81
278.75,432.218,4.22,-5.85
278.9,432.221,4.19,-5.57
279.05,432.224,4.14,-5.6
279.2,432.226,3.98,-5.82
279.35,432.229,3.96,-5.68
279.5,432.232,3.86,-5.57
279.65,432.235,4,-5.58
279.8,432.238,4.2,-5.7
279.95,432.241,3.63,-5.61
280.1,432.244,3.64,-5.39
280.25,432.247,3.59,-5.7
280.4,432.25,3.68,-5.67
280.55,432.335,3.3,-5.56
280.7,432.42,2.81,-5.68
280.85,432.505,2.64,-5.84
281,432.59,2.93,-5.64
281.15,432.675,2.78,-5.61
281.3,432.76,2.98,-5.68
281.45,432.845,2.86,-5.57
281.6,432.93,2.57,-6.15
281.76,432.939,2.79,-5.61
281.9,432.947,2.62,-6.05
282.05,432.956,2.59,-6.12
282.2,432.964,2.7,-6.03
282.35,432.973,2.73,-6.01
282.5,432.981,2.53,-6.06
282.65,432.99,2.61,-5.7
282.8,432.998,2.66,-6.08
282.95,433.007,2.92,-5.8
283.1,433.015,2.48,-6.22
283.25,433.024,2.57,-6.31
283.4,433.032,2.46,-6.22
283.55,433.041,2.68,-5.97
283.7,433.049,2.18,-6.82
283.85,433.058,2.17,-6.85
284,433.066,2.58,-5.94
284.15,433.075,2.83,-6.12
284.3,433.083,3.03,-5.8
284.45,433.092,2.84,-5.68
284.6,433.1,2.53,-6.35
284.75,433.109,2.26,-5.96
284.9,433.117,2.38,-6.25
285.05,433.126,2.65,-5.75
285.19,433.134,2.8,-5.73
285.35,433.143,2.76,-5.9
285.5,433.151,2.42,-6.38
285.65,433.16,2.41,-6.57
285.8,433.168,2.35,-6.24
285.95,433.177,1.97,-7.4
286.1,433.186,2.09,-6.57
286.25,433.194,2.2,-6.61
286.4,433.203,2.53,-6.1
286.55,433.211,2.27,-6.27
286.7,433.22,2.23,-6.44
286.85,433.228,2.59,-5.52
287,433.237,2.3,-6.13
287.15,433.245,2.31,-5.97
287.3,433.254,2.33,-5.83
287.45,433.262,2.13,-6.27
287.6,433.271,1.91,-6.38
287.75,433.279,1.93,-6.41
287.9,433.288,1.89,-5.71
288.05,433.296,1.61,-5.23
288.2,433.305,2.12,-5.87
288.35,433.313,1.94,-6.2
288.5,433.322,2,-6.3
288.65,433.33,2.02,-5.97
288.8,433.339,2.2,-5.76
288.95,433.347,1.02,-4.85
289.1,433.356,2.06,-5.73
289.25,433.364,1.87,-6.31
289.4,433.373,2.06,-6.11
289.55,433.381,2.13,-5.97
289.7,433.39,2.17,-5.95
289.85,433.398,2.02,-5.84
290,433.407,2.10,-5.71
290.15,433.415,2.15,-5.78
290.3,433.424,1.93,-6.24
290.45,433.433,2.25,-5.93
290.6,433.441,2.15,-6.30
290.75,433.45,1.82,-6.81
290.9,433.458,1.94,-6.72
291.05,433.467,1.70,-6.47
291.2,433.475,1.98,-5.97
291.35,433.484,1.20,-5.23
291.5,433.492,2.04,-6.04
291.65,433.501,1.92,-6.36
291.8,433.509,2.11,-6.45
291.95,433.518,2.20,-6.14
292.1,433.526,1.98,-5.73
292.25,433.535,2.07,-5.97
292.4,433.543,2.09,-6.06
292.55,433.552,2.05,-6.00
292.7,433.56,1.88,-6.38
292.85,433.569,1.91,-6.46
293,433.577,2.11,-6.47
293.15,433.586,1.67,-6.62
293.3,433.594,1.77,-6.28
293.45,433.603,1.55,-6.23
293.6,433.611,1.65,-6.52
293.75,433.62,1.91,-6.21
293.9,433.628,1.84,-6.35
294.05,433.637,1.88,-6.37
294.2,433.645,1.95,-6.28
294.35,433.654,1.98,-6.23
294.5,433.662,1.69,-6.36
294.65,433.671,1.73,-6.39
294.8,433.68,1.78,-6.52
294.95,433.688,1.62,-6.36
295.1,433.697,1.64,-6.34
295.25,433.705,1.62,-5.90
295.4,433.714,1.59,-5.89
295.55,433.722,1.52,-5.96
295.7,433.731,1.41,-5.34
295.85,433.739,1.45,-5.33
296,433.748,1.33,-4.62
296.15,433.756,1.36,-4.59
296.3,433.765,1.34,-4.59
296.45,433.773,1.41,-4.33
296.6,433.782,1.15,-4.41
296.75,433.79,1.48,-4.97
296.9,433.799,1.48,-5.14
297.05,433.807,1.37,-5.99
297.2,433.816,1.45,-6.49
297.35,433.824,1.49,-6.39
297.5,433.833,1.45,-5.85
297.65,433.841,1.48,-6.55
297.8,433.85,1.58,-6.00
297.95,433.858,1.81,-6.08
298.1,433.867,1.77,-5.66
298.25,433.875,1.71,-6.32
298.4,433.884,1.44,-6.63
298.55,433.892,1.72,-6.28
298.7,433.901,1.86,-5.59
298.85,433.909,1.39,-6.03
299,433.918,1.23,-6.28
299.15,433.927,1.65,-5.83
299.3,433.935,1.86,-6.08
299.45,433.944,1.65,-6.05
299.6,433.952,1.61,-6.09
299.75,433.961,1.65,-5.99
299.9,433.969,1.75,-6.11
300.05,433.978,1.62,-6.30
300.2,433.986,1.64,-6.34
300.35,433.995,1.43,-6.45
300.5,434.003,1.58,-6.32
300.65,434.012,1.80,-6.07
300.8,434.02,1.59,-6.41
300.95,434.029,1.45,-6.27
301.1,434.037,1.63,-6.39
301.25,434.046,1.60,-6.48
301.4,434.054,1.49,-6.48
301.55,434.063,1.36,-6.86
301.7,434.071,1.44,-6.30
301.85,434.08,1.82,-6.05
302,434.088,1.57,-5.98
302.15,434.097,1.58,-5.98
302.3,434.105,1.79,-5.89
302.45,434.114,1.93,-5.76
302.6,434.122,1.72,-5.84
302.75,434.131,1.64,-6.25
302.9,434.139,1.61,-6.61
303.05,434.148,1.68,-6.00
303.2,434.156,1.69,-5.93
303.35,434.165,1.60,-5.91
303.5,434.174,1.50,-6.22
303.65,434.182,1.61,-6.01
303.8,434.191,1.83,-5.77
303.95,434.199,1.84,-5.69
304.1,434.208,1.49,-5.95
304.25,434.216,1.43,-6.59
304.4,434.225,1.40,-6.03
304.55,434.233,1.66,-6.01
304.7,434.242,1.39,-6.08
304.85,434.25,1.32,-5.45
305,434.259,1.45,-6.26
305.15,434.267,1.84,-6.02
305.3,434.276,1.67,-5.87
305.45,434.284,1.51,-6.05
305.6,434.293,1.60,-6.16
305.75,434.301,1.69,-6.13
305.9,434.31,1.93,-5.59
306.05,434.318,1.54,-6.23
306.2,434.327,1.29,-6.15
306.35,434.335,1.91,-6.46
306.5,434.344,1.92,-5.72
306.65,434.352,2.02,-5.69
306.8,434.361,2.00,-5.85
306.95,434.369,1.83,-6.52
307.1,434.378,1.52,-6.12
307.25,434.386,1.73,-5.79
307.4,434.395,1.66,-5.79
307.55,434.403,1.74,-6.15
307.7,434.412,1.70,-6.36
307.85,434.421,1.73,-6.20
308,434.429,1.90,-6.03
308.15,434.438,1.90,-5.81
308.3,434.446,1.69,-5.85
308.45,434.455,1.68,-6.09
308.6,434.463,1.75,-5.78
308.75,434.472,1.71,-5.59
308.9,434.48,1.50,-5.52
309.05,434.489,1.34,-5.40
309.2,434.497,1.28,-5.71
309.35,434.506,1.47,-6.07
309.5,434.514,1.19,-5.96
309.65,434.523,1.38,-5.65
309.8,434.531,1.12,-6.04
309.95,434.54,1.34,-5.80
310.1,434.548,1.70,-5.94
310.25,434.557,1.74,-5.64
310.4,434.565,1.85,-5.37
310.55,434.574,1.46,-5.94
310.7,434.582,1.87,-5.38
310.85,434.591,0.97,-5.15
311,434.599,1.72,-5.52
311.15,434.608,,
311.3,434.616,1.58,-6.08
311.45,434.625,1.39,-5.78
311.6,434.633,1.25,-6.22
311.75,434.642,1.29,-5.74
311.9,434.65,1.33,-6.02
312.05,434.659,1.18,-5.74
312.2,434.668,1.51,-5.82
312.35,434.676,1.73,-5.78
312.5,434.685,1.72,-5.95
312.65,434.693,1.73,-5.77
312.75,434.702,1.72,-5.51
312.85,434.71,1.85,-5.66
313,434.719,1.61,-5.76
313.15,434.727,1.66,-5.51
313.3,434.736,1.66,-5.70
313.45,434.744,1.71,-5.73
313.6,434.753,1.74,-6.13
313.75,434.761,1.89,-5.96
313.9,434.77,1.79,-5.74
314.05,434.778,1.88,-5.46
314.2,434.787,1.88,-5.66
314.3,434.795,1.60,-5.59
314.5,434.804,1.36,-7.45
314.65,434.812,1.77,-5.91
314.8,434.821,1.82,-5.85
314.95,434.829,1.76,-5.87
315.1,434.838,1.70,-5.60
315.25,434.846,1.99,-5.83
315.4,434.855,1.43,-6.07
315.55,434.863,1.68,-5.92
315.7,434.872,1.45,-5.71
315.85,434.88,1.25,-5.98
316,434.889,1.50,-6.47
316.15,434.897,1.33,-5.79
316.3,434.906,1.26,-6.18
316.45,434.915,1.55,-6.52
316.6,434.923,1.92,-6.20
316.75,434.932,2.02,-6.04
316.9,434.94,1.87,-6.14
317.05,434.949,1.85,-6.01
317.2,434.957,2.05,-5.87
317.35,434.966,1.42,-5.55
317.5,434.974,1.77,-5.47
317.65,434.983,1.71,-5.91
317.8,434.991,1.94,-6.11
317.95,435,2.35,-6.46
318.1,435.008,2.23,-6.38
318.25,435.017,1.58,-6.38
318.4,435.025,1.49,-6.05
318.55,435.034,1.87,-6.31
318.7,435.042,1.87,-6.25
318.85,435.051,1.75,-6.66
319,435.059,1.75,-6.14
319.15,435.068,2.21,-6.04
319.3,435.076,1.87,-5.77
319.45,435.085,2.02,-6.18
319.6,435.093,2.28,-6.27
319.75,435.102,2.13,-6.12
319.9,435.11,1.75,-6.22
320.05,435.119,1.66,-6.05
320.19,435.127,1.64,-6.23
320.34,435.136,0.73,-5.68
320.5,435.144,1.94,-6.48
320.65,435.153,1.68,-6.46
320.8,435.162,1.94,-6.66
320.95,435.17,1.46,-6.67
321.1,435.179,1.37,-6.59
321.25,435.187,1.59,-6.02
321.4,435.196,1.75,-6.25
321.55,435.204,1.50,-6.70
321.71,435.213,1.87,-5.82
321.86,435.221,1.23,-5.82
322,435.23,2.03,-6.55
322.15,435.238,1.17,-6.30
322.3,435.247,1.58,-5.83
322.45,435.255,1.57,-6.15
322.6,435.264,1.62,-6.19
322.75,435.272,1.58,-5.99
322.9,435.281,1.57,-5.95
323.05,435.289,1.79,-6.11
323.21,435.298,1.78,-5.87
323.35,435.306,1.65,-6.48
323.5,435.315,1.66,-6.51
323.66,435.323,1.37,-6.97
323.8,435.332,1.66,-5.91
323.95,435.34,1.45,-5.89
324.1,435.349,1.41,-6.30
324.25,435.357,1.60,-6.01
324.4,435.366,1.64,-6.26
324.55,435.374,1.97,-6.47
324.7,435.383,1.67,-6.82
324.84,435.391,1.25,-6.48
325.01,435.4,1.71,-6.34
